progress,lat,lon,path_id,origin,dest,geo_cluster,alt_cluster
0.0,51.78635,0.30057,EGGW_LLBG_-1_-1,EGGW,LLBG,-1,-1
0.02040816326530612,52.06288306122449,1.7314189795918367,EGGW_LLBG_-1_-1,EGGW,LLBG,-1,-1
0.04081632653061224,51.86397693877551,3.7638932653061223,EGGW_LLBG_-1_-1,EGGW,LLBG,-1,-1
0.061224489795918366,51.45139306122449,5.255683469387756,EGGW_LLBG_-1_-1,EGGW,LLBG,-1,-1
0.08163265306122448,51.02109551020408,6.716323469387755,EGGW_LLBG_-1_-1,EGGW,LLBG,-1,-1
0.1020408163265306,50.583600204081634,8.11702469387755,EGGW_LLBG_-1_-1,EGGW,LLBG,-1,-1
0.12244897959183673,50.154019591836736,9.500475510204081,EGGW_LLBG_-1_-1,EGGW,LLBG,-1,-1
0.14285714285714285,49.62851428571428,10.811531428571428,EGGW_LLBG_-1_-1,EGGW,LLBG,-1,-1
0.16326530612244897,49.13356653061225,12.146431836734692,EGGW_LLBG_-1_-1,EGGW,LLBG,-1,-1
0.18367346938775508,48.603114285714284,13.439682857142856,EGGW_LLBG_-1_-1,EGGW,LLBG,-1,-1
0.2040816326530612,48.045910408163266,14.678945102040814,EGGW_LLBG_-1_-1,EGGW,LLBG,-1,-1
0.22448979591836732,47.49501040816327,15.850643061224488,EGGW_LLBG_-1_-1,EGGW,LLBG,-1,-1
0.24489795918367346,46.93475367346939,16.993466326530612,EGGW_LLBG_-1_-1,EGGW,LLBG,-1,-1
0.26530612244897955,46.36608632653061,18.10722020408163,EGGW_LLBG_-1_-1,EGGW,LLBG,-1,-1
0.2857142857142857,45.61004571428571,19.13363,EGGW_LLBG_-1_-1,EGGW,LLBG,-1,-1
0.3061224489795918,44.639955102040815,19.819965510204078,EGGW_LLBG_-1_-1,EGGW,LLBG,-1,-1
0.32653061224489793,44.049544081632654,20.909769999999998,EGGW_LLBG_-1_-1,EGGW,LLBG,-1,-1
0.3469387755102041,43.44920714285714,21.97726306122449,EGGW_LLBG_-1_-1,EGGW,LLBG,-1,-1
0.36734693877551017,42.782211836734696,22.984918775510202,EGGW_LLBG_-1_-1,EGGW,LLBG,-1,-1
0.3877551020408163,42.0564012244898,23.913029591836732,EGGW_LLBG_-1_-1,EGGW,LLBG,-1,-1
0.4081632653061224,41.305930000000004,24.865873469387754,EGGW_LLBG_-1_-1,EGGW,LLBG,-1,-1
0.42857142857142855,40.54999142857143,25.82117285714286,EGGW_LLBG_-1_-1,EGGW,LLBG,-1,-1
0.44897959183673464,39.81873,26.830717959183673,EGGW_LLBG_-1_-1,EGGW,LLBG,-1,-1
0.4693877551020408,39.08676857142857,27.865057346938773,EGGW_LLBG_-1_-1,EGGW,LLBG,-1,-1
0.4897959183673469,38.31852551020408,28.86878469387755,EGGW_LLBG_-1_-1,EGGW,LLBG,-1,-1
0.5102040816326531,37.43552122448979,29.643285918367347,EGGW_LLBG_-1_-1,EGGW,LLBG,-1,-1
0.5306122448979591,36.54345163265307,30.404807551020404,EGGW_LLBG_-1_-1,EGGW,LLBG,-1,-1
0.5510204081632653,35.66900224489796,31.190184285714285,EGGW_LLBG_-1_-1,EGGW,LLBG,-1,-1
0.5714285714285714,34.81862857142857,32.00989285714286,EGGW_LLBG_-1_-1,EGGW,LLBG,-1,-1
0.5918367346938775,33.958160612244896,32.7940393877551,EGGW_LLBG_-1_-1,EGGW,LLBG,-1,-1
0.6122448979591836,33.045658571428575,33.46524571428571,EGGW_LLBG_-1_-1,EGGW,LLBG,-1,-1
